일자,요일,본사정원수,본사휴가자수,본사출장자수,야근자수,재택근무자수,조식메뉴,중식메뉴,석식메뉴,중식계,석식계,dayofweek,month,yearmonth,출근인원,중식비율,석식비율,중식 New,석식 New,중식 diff,석식 diff,강수량,시간
2019-02-20,수,2806,65,241,0,0.0,모닝롤/치즈프레즐  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 대구탕  느타리호박볶음  포기김치 (김치:국내산) ,곤드레밥*양념장 (쌀:국내산) 맑은국  치킨핑거 (닭:국내산) 김치찐만두  무생채/요플레  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 매운버섯국 (소고기:호주산) 가자미튀김  모듬소세지구이  진미채무침  깍두기 (김치:국내산) ,1005,472,2,2,2019-02,2500,0.402,0.1888,False,False,False,False,0,12:00
2019-02-21,목,2806,81,269,540,0.0,모닝롤/고구마샌드  우유/주스 계란후라이 호박죽/쌀밥 (쌀:국내산) 황태국 (황태:러시아) 가지나물  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 아욱국  돼지갈비찜 (돈육:국내산) 시금치프리타타  오이무침  알타리김치 (김치:국내산) ,"목살필라프 (쌀:국내산,돈육:국내) 미니잔치국수  생선까스*칠리소스  콥샐러드  무피클/사과주스  포기김치 (김치:국내산) ",955,620,3,2,2019-02,2456,0.38884364820846906,0.252442996742671,False,False,False,True,0,12:00
2019-02-22,금,2806,178,301,1,0.0,모닝롤/마늘빵  우유/주스 계란후라이 해물죽/쌀밥 (쌀:국내산) 맑은만두육개장 (소고기:소주산) 땅콩조림  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 돈육김치찌개 (돈육:국내산) 언양식불고기  맛살냉채  마늘쫑건새우볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 오징어국 (오징어:뉴질랜드) 닭갈비 (닭:국내산) 동그랑땡전  참나물생채  포기김치 (김치:국내산) ,631,478,4,2,2019-02,2327,0.2711645896003438,0.20541469703480877,False,False,False,False,0,12:00
2019-02-25,월,2806,122,214,752,0.0,모닝롤/찐빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 어묵탕  시금치나물  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 고추장찌개  버섯불고기  두부양념조림  참나물  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 콩나물국  류산슬  돈육잡채  물파래무침  포기김치 (김치:국내산) ,1299,645,0,2,2019-02,2470,0.525910931174089,0.2611336032388664,False,False,False,False,0,12:00
2019-02-26,화,2806,109,239,644,0.0,모닝롤/피자빵  우유/주스 스크램블에그 견과류죽/쌀밥 (쌀:국내산) 연두부탕  모듬묵*장  포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 쇠고기미역국 (쇠고기:호주산) 미트볼칠리조림 (돼지고기:국내산) 고등어구이  숙주나물  배추겉절이 (배추,고추가루:국내산) ",유부초밥 (쌀:국내산) 짬뽕  깐풍기  생과일플레인샐러드  단무지  포기김치 (김치:국내산) ,924,566,1,2,2019-02,2458,0.37591537835638733,0.23026851098454026,False,False,False,False,0,12:00
2019-02-27,수,2806,100,274,0,0.0,모닝롤/사과파이  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 된장찌개  도라지나물  포기김치 (김치:국내산) ,비빔밥 (쌀:국내산) 유부장국  오징어튀김  떡밤초  음료  포기김치 (김치:국내산) ,    *  자기계발의날  *    ,944,0,2,2,2019-02,2432,0.3881578947368421,0.0,False,False,False,True,1,12:00
2019-02-28,목,2806,254,271,116,0.0,모닝롤/햄치즈샌드  우유/주스 계란후라이 소고기죽/쌀밥 (쌀:국내산) 김치국  아삭고추무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 콩가루배추된장국  돈삼겹보쌈  매운어묵볶음  무말랭이  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 소고기무국  주꾸미볶음  맛살전  부추생채  깍두기 (김치:국내산) ,772,464,3,2,2019-02,2281,0.33844804910127135,0.20341955282770716,False,False,False,False,0,12:00
2019-03-04,월,2836,213,172,708,0.0,모닝롤/베이글  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 감자국  김구이  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 해물된장찌개  돈육간장불고기  옥수수계란찜  모듬쌈  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 김치순두부찌개  소고기장조림  도토리묵야채무침  치커리생채  알타리김치 (김치:국내산) ,1274,658,0,3,2019-03,2451,0.5197878416972664,0.26846185230518155,False,False,False,False,0,12:00
2019-03-05,화,2836,67,230,736,0.0,"모닝롤/토마토샌드  우유/주스 스크램블에그 닭죽/쌀밥 (쌀,닭:국내산) 냉이된장국  미역레몬초무침  포기김치 (김치:국내산) ",쌀밥/잡곡밥 (쌀:국내산) 육개장  고추잡채*꽃빵  삼치구이  얼갈이나물  포기김치 (김치:국내산) ,김밥 (쌀:국내산) 미니우동  떡볶이  김말이&만두튀김  단무지/방울토마토  포기김치 (김치:국내산) ,940,646,1,3,2019-03,2539,0.37022449783379285,0.2544308782985427,False,False,False,False,0,12:00
2019-03-06,수,2836,56,238,0,0.0,모닝롤/소보루빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 들깨무채국  멸치볶음  포기김치 (김치:국내산) ,"콩나물밥 (쌀:국내산,돈육:국내산) 미역장국  코다리강정  닭가슴살냉채  유채나물겉절이  알타리김치 (김치:국내산) ",쌀밥/잡곡밥  쇠고기샤브국  오징어볶음  고구마그라탕  애호박나물  포기김치 (김치:국내산) ,1061,443,2,3,2019-03,2542,0.4173878835562549,0.1742722265932337,False,False,False,False,1,12:00
2019-03-07,목,2836,45,265,589,0.0,모닝롤/치킨샌드  우유/주스 계란후라이 단팥죽/쌀밥 (쌀:국내산) 동태탕  감자채볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 북어해장국  소고기낙지볶음  녹두전  돌나물*초장  포기김치 (김치:국내산) ,볶음밥  단호박스프  로제스파게티  쇠고기퀘사디아  홍시드레싱샐러드/음료  포기김치 (김치:국내산) ,845,637,3,3,2019-03,2526,0.3345209817893903,0.2521773555027712,False,False,False,False,0,12:00
2019-03-08,금,2836,130,300,4,0.0,모닝롤/고구마파이  우유/주스 계란후라이 야채죽/쌀밥 (쌀:국내산) 조랭이떡국  실곤약흑임자무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 차돌박이찌개  해물누룽지탕  비엔나컬리플라워조림  열무나물무침  배추겉절이 (김치:국내산) ,쌀밥/잡곡밥  시금치국  수원왕갈비통닭  오꼬노미야끼계란말이  치킨무/사과오이무침  포기김치 (김치:국내산) ,663,542,4,3,2019-03,2406,0.27556109725685785,0.22527015793848712,False,False,False,False,0,12:00
2019-03-11,월,2836,81,205,690,0.0,모닝롤/핫도그  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 연두부탕  유채나물  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 어묵국  쇠고기숙주볶음 (쇠고기:호주산) 감자프리타타  건새우마늘쫑볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 된장찌개  유자청제육볶음 (돈육:국내산) 두부구이*양념장  청경채생채  포기김치 (김치:국내산) ,1277,707,0,3,2019-03,2550,0.5007843137254901,0.27725490196078434,False,False,False,False,0,12:00
2019-03-12,화,2836,59,244,642,0.0,모닝롤/씨크립샌드  우유/주스 스크램블에그 새우살죽/쌀밥 (쌀:국내산) 호박젓국찌개  검정콩조림  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 쑥국  안동찜닭 (닭:국내산) 해물김치전  풋마늘대무침  포기김치 (김치:국내산) ,오므라이스 (쌀:국내산) 미소장국  모듬튀김*칠리소스  멕시칸샐러드  무피클/오렌지  포기김치 (김치:국내산) ,956,653,1,3,2019-03,2533,0.37741808132649035,0.2577970785629688,False,False,False,True,0,12:00
2019-03-13,수,2836,61,244,0,0.0,모닝롤/소보루빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 꽃게탕  김자반  포기김치 (김치:국내산) ,"카레덮밥 (쌀,돈육:국내산) 가쯔오장국  고구마치즈구이  쫄면무침  무말랭이  포기김치 (김치:국내산) ",쌀밥/잡곡밥 (쌀:국내산) 수제비국  순살파닭 (닭:국내산) 꽃맛살볶음  콩나물무침  깍두기 (김치:국내산) ,953,442,2,3,2019-03,2531,0.3765310154089293,0.17463453180561042,False,False,False,False,0,12:00
2019-03-14,목,2836,62,286,417,0.0,모닝롤/참치샌드  우유/주스 계란후라이 흑임자죽/쌀밥 (쌀:국내산) 오징어국  도라지생채  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 우거지해장국 (쇠고기:호주산) 갈치구이 (갈치:세네갈) 모듬소시지구이  양념깻잎지  열무김치 (김치:국내산) ,"쌀밥/옛날돈까스 (쌀,돈육:국내산) 양송이스프  딸기드레싱샐러드  감자범벅  오이피클/음료  포기김치 (김치:국내산) ",791,530,3,3,2019-03,2488,0.3179260450160772,0.21302250803858522,False,False,False,False,0,12:00
2019-03-15,금,2836,174,304,4,0.0,모닝롤/마늘빵  우유/주스 계란후라이 고구마죽/쌀밥 (쌀:국내산) 매운버섯국 (쇠고기:호주산) 미역줄기볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 열무된장국  등갈비김치찜 (등갈비:국내산) 메밀전병만두  호박나물  배추겉절이 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 달래된장국  레몬탕수육 (돈육:국내산) 우엉잡채  부추생채  포기김치 (김치:국내산) ,630,466,4,3,2019-03,2358,0.26717557251908397,0.19762510602205258,False,False,False,False,0,12:00
2019-03-18,월,2836,107,217,607,0.0,모닝롤/찐빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 민물새우찌개  쥐포무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 콩나물국  버섯불고기  오징어숙회무침  세발나물  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 배추된장국  닭갈비  메추리알곤약조림  비트무생채  포기김치 (김치:국내산) ,1261,619,0,3,2019-03,2512,0.5019904458598726,0.2464171974522293,False,False,False,False,0,12:00
2019-03-19,화,2836,72,248,553,0.0,모닝롤/바나나샌드  우유/주스 스크램블에그 땅콩죽/쌀밥 (쌀:국내산) 황태국  꽈리고추찜  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 아욱국  동파육  계란찜  쫑상추무침  배추겉절이 (김치:국내산) ,꼬마김밥*겨자장 (쌀:국내산) 김치우동  해물까스/케찹  시금치흑임자샐러드  파인애플주스  포기김치 (김치:국내산) ,990,627,1,3,2019-03,2516,0.3934817170111288,0.24920508744038156,False,False,False,False,0,12:00
2019-03-20,수,2836,77,261,0,0.0,모닝롤/크로와상  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 대구찌개  김잔파무침  포기김치 (김치:국내산) ,김치제육덮밥 (쌀:국내산) 맑은국  야채튀김  시저샐러드  오이무침  알타리김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 닭개장  고등어구이  훈제오리냉채  청포묵무침  포기김치 (김치:국내산) ,970,412,2,3,2019-03,2498,0.388310648518815,0.16493194555644516,False,False,False,False,0,12:00
2019-03-21,목,2836,81,260,457,0.0,모닝롤/에그샌드  우유/주스 계란후라이 녹두죽/쌀밥 (쌀:국내산) 감자국  멸치아몬드볶음  포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀:국내산) 미역국  한방소갈비찜  동태전/새송이전  봄동겉절이 식혜,오렌지,바나나 깍두기 (김치:국내산) ",빠에야 (쌀:국내산) 쌀국수  수제고로케  과일샐러드  양배추피클  포기김치 (김치:국내산) ,1214,470,3,3,2019-03,2495,0.4865731462925852,0.18837675350701402,False,False,False,True,0,12:00
2019-03-22,금,2836,168,295,3,0.0,모닝롤/꿀호떡  우유/주스 계란후라이 낙지김치죽/쌀밥 (쌀:국내산) 옹심이만두떡국  유채나물  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 해물된장찌개  돈육굴소스볶음  달래두부무침  양배추쌈*쌈장  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 참치김치찌개  언양식불고기  해파리냉채  시금치나물  포기김치 (김치:국내산) ,567,466,4,3,2019-03,2373,0.23893805309734514,0.19637589549093973,False,False,False,False,0,12:00
2019-03-25,월,2836,111,232,585,0.0,모닝롤/사과잼쿠키  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 김치국  김자반  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 꽃게탕  소고기장조림  두부구이  방풍나물  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 시래기국  삼겹살구이  감자채볶음  상추파무침  포기김치 (김치:국내산) ,1150,555,0,3,2019-03,2493,0.46129161652627354,0.2226233453670277,False,False,False,False,0,12:00
2019-03-26,화,2836,83,252,525,0.0,모닝롤/고구마샌드  우유/주스 스크램블에그 잣죽/쌀밥 (쌀:국내산) 닭곰탕  연두부*양념장  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 무채국  제육볶음  들깨버섯무침  얼갈이나물  포기김치 (김치:국내산) ,잡채밥&짜장소스 (쌀:국내산) 맑은국  간장치킨  떡꼬지  음료/단무지  포기김치 (김치:국내산) ,919,541,1,3,2019-03,2501,0.367453018792483,0.21631347461015593,False,False,False,False,0,12:00
2019-03-27,수,2836,92,259,0,0.0,모닝롤/베이글  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 된장찌개  애호박나물  포기김치 (김치:국내산) ,단호박영양밥 (쌀:국내산) 가쯔오장국  돈육칠리강정  모듬묵샐러드  숙주나물  배추겉절이 (김치:국내산) ,    *  자기개발의날  *    ,856,0,2,3,2019-03,2485,0.344466800804829,0.0,False,False,False,True,0,12:00
2019-03-28,목,2836,84,282,522,0.0,모닝롤/단팥빵  우유/주스 계란후라이 수삼닭죽/쌀밥 (쌀:국내산) 쇠고기버섯국  시금치나물  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 어묵탕  매운돼지갈비찜  야채계란말이  부추팽이겉절이  열무김치 (김치:국내산) ,"충무김밥 (쌀,현미흑미:국내산) 우동  오징어초무침  모짜렐라핫도그  바나나/샐러드  석박지 (김치:국내산) ",810,597,3,3,2019-03,2470,0.32793522267206476,0.2417004048582996,False,False,False,False,0,12:00
2019-03-29,금,2836,239,301,1,0.0,모닝롤/와플  우유/주스 계란후라이 야채죽/쌀밥 (쌀:국내산) 고추장찌개  도라지나물  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 알탕  미니함박조림  셀프무쌈말이  파래김*양념장  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 쇠고기샤브국  깐풍기  동그랑땡전  열무나물  포기김치 (김치:국내산) ,481,402,4,3,2019-03,2296,0.20949477351916376,0.1750871080139373,False,False,False,False,0,12:00
2019-04-01,월,2822,126,197,611,0.0,모닝롤/사과롤케익  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 시금치국  김구이  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 황태국  소고기숙주볶음  계란찜  치커리무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 감자국  새송이너비아니구이  가자미양념찜  콩나물무침  포기김치 (김치:국내산) ,1029,577,0,4,2019-04,2499,0.4117647058823529,0.2308923569427771,False,False,False,False,0,12:00
2019-04-02,화,2822,67,253,514,0.0,"모닝롤/피자빵  우유/주스 스크램블에그 고구마죽/쌀밥 (쌀,닭:국내산) 달래된장찌개  진미채무침  포기김치 (김치:국내산) ",쌀밥/잡곡밥 (쌀:국내산) 연두부탕  오징어볶음  궁중떡볶음  참나물무침  포기김치 (김치:국내산) ,목살필라프 (쌀:국내산) 꼬지어묵국  탕수육  콥샐러드  무피클/사과주스  포기김치 (김치:국내산) ,855,491,1,4,2019-04,2502,0.34172661870503596,0.19624300559552357,False,False,False,True,0,12:00
2019-04-03,수,2822,59,283,0,0.0,모닝롤/초코핫케익  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 만두국  땅콩조림  포기김치 (김치:국내산) ,"곤드레밥*강된장 (쌀:국내산,돈육:국내산) 들깨시래기국  순대볶음  쫄면  온두부  볶음김치 (김치:국내산) ",쌀밥/잡곡밥  부대찌개  돈육장조림  어묵잡채  오이무침  포기김치 (김치:국내산) ,790,411,2,4,2019-04,2480,0.3185483870967742,0.16572580645161292,False,False,False,False,0,12:00
2019-04-04,목,2822,60,288,429,0.0,모닝롤/햄치즈샌드  우유/주스 계란후라이 흑임자죽/쌀밥 (쌀:국내산) 호박젓국찌개  마늘쫑볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 돈육김치찌개  안동찜닭  야채비빔만두  아삭고추무침  열무김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 뼈감자탕  해물까스*와사비소스  단호박*팥찜  부추무침  깍두기 (김치:국내산) ,745,462,3,4,2019-04,2474,0.3011317704122878,0.18674211802748586,False,False,False,False,0,12:00
2019-04-05,금,2822,185,303,1,0.0,모닝롤/고구마파이  우유/주스 계란후라이 야채죽/쌀밥 (쌀:국내산) 소고기무국  김치도토리묵무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 조랭이떡미역국  짬뽕불고기  맛살전  간장깻잎지  배추겉절이 (김치:국내산) ,쌀밥/잡곡밥  청국장찌개  류산슬  치즈함박스테이크  가지나물  포기김치 (김치:국내산) ,575,436,4,4,2019-04,2334,0.24635818337617824,0.1868037703513282,False,False,False,False,0,12:00
2019-04-08,월,2822,104,222,592,0.0,모닝롤/프렌치토스트  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 북어국 (북어채:러시아) 멸치볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 된장찌개  유자청돈육볶음 (돈육:국내산) 새송이버섯전  모듬쌈*쌈장  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 김치두부국  닭갈비 (닭:국내산) 해물파전  취나물  포기김치 (김치:국내산) ,1105,607,0,4,2019-04,2496,0.4427083333333333,0.24318910256410256,False,False,False,False,0,12:00
2019-04-09,화,2822,69,239,578,0.0,모닝롤/참치샌드  우유/주스 스크램블에그 팥죽/쌀밥 (쌀:국내산) 미역국  쑥갓두부무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 순두부찌개  주꾸미볶음 (주꾸미:베트남) 감자채볶음  견과류조림  열무김치 (김치:국내산) ,참치회덮밥 (쌀:국내산) 미소장국  또띠아피자  꽃맛살샐러드  락교/오렌지  포기김치 (김치:국내산) ,876,590,1,4,2019-04,2514,0.34844868735083534,0.2346857597454256,False,False,False,False,0,12:00
2019-04-10,수,2822,64,245,0,0.0,모닝롤/크림롤케익  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 피바지락국  미역줄기볶음  포기김치 (김치:국내산) ,나물비빔밥 (쌀:국내산) 가쯔오장국  오징어튀김 (오징어:포클랜드) 과일샐러드  오복지  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 육개장 (소고기:호주산) 꽁치구이*와사비장  비엔나케찹볶음  청경채생채  포기김치 (김치:국내산) ,789,350,2,4,2019-04,2513,0.3139673696776761,0.1392757660167131,False,False,False,False,0,12:00
2019-04-11,목,2822,52,248,434,0.0,모닝롤/인기가요샌드  우유/주스 계란후라이 김치죽/쌀밥 (쌀:국내산) 근대국  김자반  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 콩나물국  수제돈까스 (돈육:국내산) 파스타샐러드  오이무침  포기김치 (김치:국내산) ,베이컨김치볶음밥 (쌀:국내산) 새우튀김우동  찐만두  키위드레싱샐러드  요플레  깍두기 (김치:국내산) ,845,524,3,4,2019-04,2522,0.33505154639175255,0.20777160983346551,False,False,False,False,0,12:00
2019-04-12,금,2822,155,288,0,0.0,모닝롤/허니브레드  우유/주스 계란후라이 홍게살죽/쌀밥 (쌀:국내산) 대구매운탕  꽈리고추찜  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 아욱국  닭오븐구이 (닭:국내산) 옥수수전  치커리사과생채  배추겉절이 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 배추된장국  돈육강정 (돈육:국내산) 계란말이  숙주나물  포기김치 (김치:국내산) ,553,435,4,4,2019-04,2379,0.23245060949978982,0.1828499369482976,False,False,False,False,0,12:00
